ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
1770782,8.9,647614,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,362,29.00元,平装,9787208061644.0,The Kite Runner,李继宏,,卡勒德·胡赛尼作品,success,29.0,20-30
25862578,8.5,642001,解忧杂货店,[日] 东野圭吾,南海出版公司,2014-5,291,39.50元,精装,9787544270878.0,ナミヤ雑貨店の奇蹟,李盈春,,新经典文库·东野圭吾作品,success,39.5,30-40
1084336,9.0,576391,小王子,[法国] 安东尼·德·圣-埃克苏佩里,人民文学出版社,2003-8,97,22.00元,平装,9787020042494.0,Le Petit Prince,马振骋,,,success,22.0,20-30
4913064,9.4,496363,活着,余华,作家出版社,2012-8,191,28.00元,平装,9787506365437.0,,,,余华作品（2012版）,success,28.0,20-30
3259440,9.1,460123,白夜行,[日] 东野圭吾,南海出版公司,2008-9,467,29.80元,平装,9787544242516.0,白夜行,刘姿君,,新经典文库·东野圭吾作品,success,29.8,20-30
3211779,8.9,411681,嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2008-9,251,28.00,精装,9787544241694.0,容疑者Xの献身,刘子倩,,新经典文库·东野圭吾作品,success,28.0,20-30
2567698,8.8,375148,三体,刘慈欣,重庆出版社,2008-1,302,23.00,平装,9787536692930.0,,,,科幻世界·中国科幻基石丛书,success,23.0,20-30
1008145,8.9,372332,围城,钱锺书,人民文学出版社,1991-2,359,19.00,平装,9787020024759.0,,,,,success,19.0,<20
1046265,8.0,317893,挪威的森林,[日] 村上春树,上海译文出版社,2001-2,350,18.80元,平装,9787532725694.0,ノルウェイの森,林少华,,村上春树文集（2001版）,success,18.8,<20
6082808,9.2,294332,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,360,39.50元,精装,9787544253994.0,Cien años de soledad,范晔,,新经典文库：加西亚·马尔克斯作品,success,39.5,30-40
1007305,9.6,291042,红楼梦,[清] 曹雪芹 著 / 高鹗,人民文学出版社,1996-12,1606,59.70元,平装,9787020002207.0,,,,中国古典文学读本丛书,success,59.7,50-70
10554308,9.1,271828,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,538,39.50元,精装,9787544258609.0,白夜行,刘姿君,,新经典文库·东野圭吾作品,success,39.5,30-40
1200840,9.0,251222,平凡的世界（全三部）,路遥,人民文学出版社,2005-1,1631,64.00元,平装,9787020049295.0,,,,茅盾文学奖获奖作品全集,success,64.0,50-70
1023045,8.7,239375,我们仨,杨绛,生活·读书·新知三联书店,2003-7,165,18.80元,平装,9787108018809.0,,,,,success,18.8,<20
4242172,8.1,230332,天才在左 疯子在右,高铭,武汉大学出版社,2010-2,258,29.80元,平装,9787307075429.0,,,,,success,29.8,20-30
3066477,9.3,222488,三体Ⅱ,刘慈欣,重庆出版社,2008-5,470,32.00,平装,9787536693968.0,,,,科幻世界·中国科幻基石丛书,success,32.0,30-40
5363767,9.2,214933,三体Ⅲ,刘慈欣,重庆出版社,2010-11,513,38.00元,平装,9787229030933.0,,,,科幻世界·中国科幻基石丛书,success,38.0,30-40
1040771,8.2,206737,达·芬奇密码,[美] 丹·布朗,上海人民出版社,2004-2,432,28.00元,平装,9787208050037.0,The Da Vinci Code,朱振武 / 吴晟 / 周元晓,,,success,28.0,20-30
