ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
26771719,8.4,3974,钟表馆事件,[日] 绫辻行人,新星出版社,2016-6,452,35.00元,平装,9787513320955.0,時計館の殺人,刘羽阳,,午夜文库·大师系列：绫辻行人作品（2016版）,success,35.0,30-40
27131538,8.6,3973,白天的房子，夜晚的房子,[波兰] 奥尔加·托卡尔丘克,四川人民出版社,2017-12,432,60.00元,平装,9787220103728.0,"Dom dzienny, dom nocny",易丽君 / 袁汉镕,,奥尔加·托卡尔丘克作品,success,60.0,50-70
1880990,8.3,3971,复活,(俄)列夫·托尔斯泰,上海译文出版社,2006-8,452,15.0,平装,9787532739639.0,Воскресение,安东 / 南风,,译文名著文库,success,15.0,<20
25913612,8.2,3970,给孩子的诗,北岛 选编 / 北岛,中信出版社,2014-7-1,176,30.00元,精装,9787508646664.0,,吴菲,,给孩子系列,success,30.0,20-30
6820477,8.2,3970,滚滚红尘,三毛,北京十月文艺出版社,2011-9-1,198,22.00元,平装,9787530211021.0,,,,三毛全集（2011版）,success,22.0,20-30
1464442,7.6,3969,道路与梦想,王石 / 缪川,中信出版社,2006-1,309,36.00元,平装,9787508605425.0,,,,蓝狮子财经丛书·中国著名公司案例系列,success,36.0,30-40
4901554,7.2,3968,一个都不正经,张发财,广西师范大学出版社,2010-7,264,27.00元,平装,9787563399123.0,,,,,success,27.0,20-30
1012039,8.1,3967,我的视觉日记,王小慧,学林出版社,2001-9,417,38.00元,平装,9787806680674.0,,,,新视觉书坊,success,38.0,30-40
30446684,8.2,3967,六里庄遗事,东东枪,上海三联书店,2019-2,652,78.00元,精装,9787542665942.0,,,,,success,78.0,70-100
4192766,7.5,3966,凡人修仙传（1-10）,忘语,太白文艺出版社,2010-01,,280.00元（全10册）,平装,9787806807583.0,,,,凡人修仙传,success,280.0,>200
4881998,8.4,3964,猜火车,[英] 欧文·威尔士,重庆出版社,2010-7-1,293,29.80元,平装,9787229021887.0,Trainspotting,石一枫,,电影文学馆,success,29.8,20-30
26873486,7.9,3964,运营之光,黄有璨,电子工业出版社,2016-9-1,332,59.00元,平装,9787121298097.0,,,,,success,59.0,50-70
26689063,8.2,3963,卡罗尔,[美国] 帕特里夏·海史密斯,上海译文出版社,2016-2,328,38.00元,平装,9787532771653.0,The Price of Salt,李延辉,,海史密斯作品,success,38.0,30-40
26331660,8.1,3962,怨氣撞鈴2·根鬚,尾魚,聯合文學,2015-2-13,287,NTD 199,平装,9789863230991.0,,,,怨气撞铃,success,199.0,100-200
