author_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,nationality,books,author_score,influence
石田裕辅,4,7.925,7.931248875434035,31542,26.5,日,"['不去会死！', '不去会死！', '用洗脸盆吃羊肉饭', '最危险的厕所和最美丽的星空']",8.060183891807158,83.4963071597403
倾泠月,3,7.8999999999999995,7.9017598998311485,31229,23.0,中国,"['且试天下1', '且试天下2', '兰因·璧月（上、下）']",8.067706878283053,83.49378318877685
书海沧生,4,7.625,7.632600902165154,37086,54.8,中国,"['十年一品温如言', '昭奚旧草', '十年一品温如言', '十年一品温如言（修订珍藏版）']",7.926850558473825,83.39856739531321
阿加莎·克里斯蒂 (Dame Agatha Christie),3,8.566666666666666,8.560154515141553,22608,28.0,英,"['尼罗河上的惨案', '帷幕', '阳光下的罪恶']",8.317706878283053,83.39418868085863
阿来,3,8.733333333333333,8.723003348186388,20925,22.0,中国,"['尘埃落定', '尘埃落定', '尘埃落定']",8.380206878283051,83.37256377126488
尼尔·盖曼,6,8.049999999999999,8.04932425994802,29347,31.0,英,"['美国众神', '美国众神', '好兆头', '北欧众神', '坟场之书', '星尘']",8.103786820569493,83.36349035290402
（日）渡边淳一,2,7.699999999999999,7.703337319214027,32021,30.0,中国,"['失乐园', '无影灯']",8.034522146609204,83.35156647374373
Twentine,6,8.066666666666666,8.065965666707063,28882,35.5,中国,"['打火机与公主裙·荒草园', '忍冬', '打火机与公主裙·长明灯', '阿南', '有生之年', '那个不为人知的故事']",8.1128777296604,83.32743584275933
连岳,6,8.033333333333333,8.035387988542846,29533,25.5,中国,"['我爱问连岳', '我爱问连岳Ⅱ', '我爱问连岳Ⅲ', '我是鸡汤', '神了', '来去自由']",8.094695911478585,83.32111254967471
廖信忠,3,7.2,7.222580206558718,43082,29.8,中国,"['我们台湾这些年', '我们台湾这些年2', '台湾这些年所知道的祖国']",7.805206878283053,83.28845537343004
美国纽约摄影学院,3,9.1,9.083074196302443,17599,90.0,中国,"['美国纽约摄影学院摄影教材（上）', '美国纽约摄影学院摄影教材（上册）', '美国纽约摄影学院摄影教材（下）']",8.517706878283052,83.2661568574437
朗达·拜恩,2,7.35,7.359197478461818,35901,33.5,澳,"['秘密', '力量']",7.934522146609203,83.22161863907642
矢泽爱,2,8.95,8.936475931606832,20040,51.25,日,"['NANA（1-13）', '近所物语']",8.39166500375206,83.1239352140446
岛田洋七,2,8.75,8.739431460566088,21446,22.5,日,"['佐贺的超级阿嬷', '佐贺的超级阿嬷']",8.334522146609203,83.12302355935282
马可·奥勒留,3,8.4,8.390308528993874,23576,22.0,古罗马,"['沉思录', '沉思录', '沉思录']",8.255206878283053,83.1136452419825
叔本华,4,8.95,8.933481243805904,17184,33.0,德,"['作为意志和表象的世界', '人生的智慧', '人生的智慧', '叔本华人生哲学']",8.515739447362714,83.0437214287688
托克维尔,3,8.9,8.888609283504856,18632,48.0,法,"['旧制度与大革命', '论美国的民主', '旧制度与大革命']",8.442706878283053,83.01451511518009
圣·埃克苏佩里,2,9.149999999999999,9.14069759362626,18421,21.9,法,"['小王子', '小王子']",8.448807860894917,82.97828409223844
尾魚,6,8.216666666666667,8.212718063639592,24952,250.0,中国,"['怨氣撞鈴1·食骨', '怨氣撞鈴2·根鬚', '怨氣撞鈴4·黑蝶', '怨氣撞鈴3·飛天', '怨氣撞鈴5·同路', '七根凶簡 套裝']",8.194695911478583,82.96924197561803
贾平凹,6,7.283333333333334,7.2980663964074255,48566,38.0,中国,"['废都', '自在独行', '秦腔', '废都', '高兴', '极花']",7.685605002387675,82.93305457070306
蝴蝶蓝,6,8.816666666666668,8.793322331161349,16816,25.0,中国,"['全职高手1·放逐斗神', '全职高手2·千机初芒', '全职高手3·副本风云', '全职高手4·满城追杀', '全职高手5·王牌对决', '全职高手6·神之领域']",8.52196863875131,82.91999530021623
曼昆,2,9.1,9.085081461896824,18572,70.0,美,"['经济学原理（上下）', '经济学原理（第4版）']",8.434522146609204,82.90683341830628
凯文·凯利,3,8.433333333333332,8.429030279271055,22627,58.0,美,"['失控', '必然', '科技想要什么']",8.267706878283052,82.89982855638408
傅雷,4,8.675,8.660153262388855,19433,30.0,中国,"['傅雷家书', '傅雷家书', '傅雷家书', '世界美术名作二十讲']",8.393517225140492,82.88413089099252
珍妮特·温特森,5,7.94,7.941377844450736,29103,25.0,英,"['橘子不是唯一的水果', '我要快乐，不必正常', '橘子不是唯一的水果', '写在身体上', '给樱桃以性别']",8.054165502626443,82.78579441511447
王强,4,7.925000000000001,7.92657643944009,28764,28.0,中国,"['圈子圈套1', '圈子圈套2', '圈子圈套3', '圈子圈套']",8.060183891807158,82.75322007482579
George Orwell,3,9.366666666666667,9.342978469549719,14786,9.99,中国,"['1984', 'Animal Farm', '1984']",8.617706878283052,82.74294443748025
朱德庸,5,8.22,8.216462821452485,24098,29.8,中国,"['绝对小孩', '大家都有病', '绝对小孩2', '关于上班这件事', '什么事都在发生']",8.194165502626443,82.67852047914623
紫式部,4,8.175,8.171034513837434,24786,65.0,日,"['源氏物语', '源氏物语', '源氏物语（上、中、下）', '源氏物语']",8.171295002918269,82.67777242767194
梦枕貘,7,8.142857142857142,8.144156115775152,25309,20.0,日,"['阴阳师', '阴阳师·飞天卷', '阴阳师·凤凰卷', '阴阳师·生成姬', '阴阳师·付丧神卷', '妖猫传', '妖猫传 1']",8.153471252188702,82.66767692557073
（美）理查德·耶茨,2,8.399999999999999,8.390145925086495,22560,20.0,中国,"['十一种孤独', '复活节游行']",8.234522146609203,82.5426690923293
尾鱼,6,8.183333333333334,8.180786193836196,24087,45.9,中国,"['七根凶简', '司藤', '撞铃', '西出玉门 上', '开封志怪（全三册）', '四月间事']",8.176514093296767,82.4966860460579
武志红,6,8.183333333333332,8.180327961499904,24039,34.4,中国,"['为何家会伤人', '为何家会伤人（升级版）', '为何爱会伤人', '感谢自己的不完美', '身体知道答案', '心灵的七种兵器']",8.176514093296763,82.48037650455987
盐野七生,5,8.92,8.896278233476115,15561,39.0,中国,"['罗马人的故事1', '罗马人的故事2', '罗马人的故事3', '罗马人的故事4', '罗马人的故事（礼品装，全15册）']",8.544165502626441,82.47330362632134
欧文·斯通,2,8.95,8.942633629989269,18534,27.4,美,"['梵高传', '渴望生活']",8.39166500375206,82.46838389446224
吴思,4,8.25,8.245930501507814,23171,28.0,中国,"['血酬定律', '潜规则（修订版）', '血酬定律', '隐蔽的秩序']",8.204628336251602,82.46225746302568
慕容引刀,5,8.74,8.723299822086815,17214,25.0,中国,"['被爱路过', '微笑的咖啡杯', '让爱点亮', '朋友刀刀', '亲爱的沙皮']",8.454165502626442,82.45801075666905
蔡骏,20,6.76,6.781563680624605,121744,23.0,中国,"['地狱的第19层', '荒村公寓', '蝴蝶公墓', '荒村归来', '沉睡之城', '玛格丽特的秘密', '罗刹之国', '谋杀似水年华', '宛如昨日', '猫眼', '大空城之夜', '末日审判', '旋转门', '病毒', '诅咒', '人间（上卷）', '偷窥一百二十天', '爱人的头颅', '肉香', '地狱变']",7.041666201050577,82.4556858530083
熊培云,4,7.875,7.8815642826760755,28221,39.0,中国,"['自由在高处', '重新发现社会', '一个村庄里的中国', '自由在高处（增订版）']",8.037961669584936,82.37188252192117
傅真,4,8.35,8.346574446585112,21609,35.9,中国,"['最好金龟换酒', '泛若不系之舟', '藏地白皮书', '藏地白皮书·十年爱情见证版']",8.249072780696046,82.33326496461565
罗贝托·波拉尼奥,5,8.52,8.50808743838613,19133,49.8,智利,"['地球上最后的夜晚', '2666', '遥远的星辰', '2666', '智利之夜']",8.344165502626442,82.26698123192904
(俄)列夫·托尔斯泰,2,8.2,8.197628678802099,23231,17.45,中国,"['复活', '复活']",8.177379289466346,82.20953205386644
寐语者,6,7.966666666666666,7.969313408240349,26857,25.0,中国,"['帝王业（上下）', '衣香鬓影', '衣香鬓影2·千秋素光同', '在寂与寞的川流上', '凤血', '明月照人来']",8.058332275114946,82.18144320716351
纳西姆·尼古拉斯·塔勒布,4,7.949999999999999,7.951077249906376,26417,44.0,美,"['黑天鹅', '反脆弱', '黑天鹅', '随机漫步的傻瓜']",8.07129500291827,82.18031852296568
横沟正史,8,7.925,7.9279254760698885,28207,15.0,中国,"['恶魔吹着笛子来', '狱门岛', '八墓村', '犬神家族', '女王蜂', '本阵杀人事件', '狱门岛', '罪恶的拍球歌']",8.018588848174186,82.16937387314361
小春,2,8.1,8.09947650373746,23934,26.8,中国,"['不负如来不负卿1', '不负如来不负卿Ⅱ·大结局']",8.148807860894918,82.16522092553144
大风刮过,6,8.1,8.099631732073783,24397,30.9,中国,"['又一春', '桃花债', '皇叔', '如意蛋', '张公案', '如意蛋 上']",8.13105954784222,82.1420486869749
刘墉,5,8.02,8.020925882372904,25519,22.8,美,"['我不是教你诈', '你不可不知的人性', '靠自己去成功', '超越自己·创造自己·肯定自己', '我不是教你诈(1)']",8.094165502626442,82.13325975817756
金子,4,7.625,7.631668765249359,31594,25.0,中国,"['梦回大清', '梦回大清', '绿红妆之军营穿越', '夜上海']",7.926850558473825,82.12814989312442
张羽,3,8.433333333333334,8.427958576623949,20582,35.0,中国,"['只有医生知道!', '只有医生知道！2', '只有医生知道！3']",8.267706878283052,82.11668998799061
慕容雪村,8,7.55,7.561590284422001,37880,20.0,中国,"['成都，今夜请将我遗忘', '原谅我红尘颠倒', '天堂向左，深圳往右', '中国，少了一味药', '成都今夜请将我遗忘', '天堂向左深圳往右', '伊甸樱桃', '成都今夜请将我遗忘']",7.787819617404956,82.10079048999401
罗伯特·麦基,2,9.2,9.1883147881214,16125,57.0,美,"['故事', '故事']",8.463093575180633,81.99204293179478
路易斯·贾内梯,2,9.100000000000001,9.080995744030504,16601,174.0,美,"['认识电影', '认识电影：全彩插图第12版']",8.434522146609204,81.96060028298518
舒国治,4,7.85,7.854220587862917,27017,31.5,中国,"['理想的下午', '流浪集', '门外汉的京都', '台北小吃札记']",8.026850558473825,81.9080587581772
兰晓龙,3,9.233333333333334,9.213500948726706,14165,35.0,中国,"['士兵突击', '我的团长我的团（上部）', '我的团长我的团（下部）']",8.567706878283053,81.89528302084919
纪媛媛,2,7.65,7.6523804208192345,27200,20.0,中国,"['翻译官', '堕落天使']",8.02023643232349,81.89470652342652
格非,7,7.928571428571429,7.930827764745536,26824,30.0,中国,"['人面桃花', '望春风', '一个人的电影', '春尽江南', '山河入梦', '人面桃花', '雪隐鹭鸶']",8.028471252188702,81.86704044865823
双雪涛,3,7.933333333333334,7.941776156913015,25128,45.0,中国,"['平原上的摩西', '飞行家', '猎人']",8.080206878283052,81.86686096509564
马尔科姆·格拉德威尔,5,7.7,7.706397852140837,30278,29.8,美,"['异类', '异类', '引爆点', '引爆点', '引爆点']",7.934165502626442,81.86638330705243
李开复,5,7.18,7.202898771294159,42885,29.8,中国,"['世界因你不同', '做最好的自己', '微博：改变一切', '向死而生', '人工智能']",7.674165502626442,81.85495695952224
陈磊,6,7.383333333333333,7.394467388938882,38843,44.9,中国,"['半小时漫画世界史', '半小时漫画中国史2', '半小时漫画中国史3', '半小时漫画经济学', '半小时漫画中国史4', '半小时漫画唐诗2']",7.7401504569331285,81.79256083963733
小川糸,2,7.9,7.9038545035698675,24307,48.9,日,"['山茶文具店', '闪闪发光的人生']",8.09166500375206,81.71417095904611
凑佳苗,4,7.8,7.811208585530895,26930,29.0,日,"['告白', '告白', '为了N', '夜行观览车']",8.004628336251603,81.65548035970986
N.格里高利·曼昆,2,9.350000000000001,9.335309743758268,14757,48.0,美,"['经济学原理', '经济学原理']",8.505950718037775,81.65321915408475
贾樟柯,3,8.633333333333333,8.625916578938925,17769,49.0,中国,"['贾想1996—2008', '贾想 I', '贾想II']",8.342706878283053,81.63561364890286
孙皓晖,3,8.666666666666666,8.653600773482324,17486,57.0,中国,"['大秦帝国', '大秦帝国·第一部 黑色裂变（上、下）', '大秦帝国·第二部 国命纵横（上、下）']",8.355206878283052,81.62379587621037
BENJAMIN,4,7.9750000000000005,7.975087185645965,24272,23.0,中国,"['地下室', '记得', '我们去哪儿', '一天']",8.08240611402938,81.60902361769453
弗洛伊德,3,8.1,8.098306688476509,22521,22.0,奥地利,"['梦的解析', '梦的解析', '性学三论・爱情心理学']",8.142706878283052,81.60822681556783
恰克·帕拉尼克,2,8.45,8.445954162622007,19783,29.5,美,"['肠子', '搏击俱乐部']",8.248807860894917,81.6023942862548
十四夜,4,7.65,7.656793763840961,28898,25.9,中国,"['醉玲珑（上卷）', '醉玲珑（下卷）', '醉玲珑（中卷）', '醉玲珑']",7.937961669584936,81.53526759733225
袁腾飞,5,7.62,7.626627044896418,30351,32.8,中国,"['历史是个什么玩意儿1', '历史是个什么玩意儿2', '历史是个什么玩意儿3', '历史是个什么玩意儿4', '两宋风云']",7.894165502626443,81.47266415136241
韓寒,2,8.05,8.049890636195325,22039,280.0,中国,"['一座城池', '青春']",8.134522146609203,81.35021820424008
弗·司各特·菲茨杰拉德,2,8.4,8.393164193416144,19489,18.5,美,"['了不起的盖茨比', '了不起的盖茨比']",8.234522146609203,81.3377836144593
李歆,3,7.866666666666667,7.872825927228864,24222,25.0,中国,"['独步天下（上下卷）', '秀丽江山·白虎卷', '秀丽江山·青龙卷']",8.055206878283052,81.31777962340075
藤子·F. 不二雄,2,9.6,9.57237205239219,13062,92.975,日本,"['机器猫哆啦A梦（共45册）', '机器猫哆啦A梦1']",8.577379289466347,81.29244746696027
J.D.塞林格,4,8.075,8.076136787487421,21987,19.0,美,"['麦田里的守望者', '九故事', '麦田里的守望者', '麦田里的守望者']",8.126850558473825,81.2543008981677
西蒙娜·德·波伏瓦,3,9.066666666666666,9.043321157533159,14076,49.0,法,"['第二性Ⅰ', '第二性Ⅱ', '第二性（合卷本）']",8.505206878283053,81.24426673064588
