publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
中州古籍出版社,3,9.299999999999999,9.267780906657574,9365,20.0,2007-2010,"['金刚经', '传习录', '东京梦华录']",8.473116361450657,卓越
世界图书出版公司,25,8.576,8.564960490211067,331219,32.0,1989-2015,"['简爱（英文全本）', '富爸爸，穷爸爸', '认识电影', '为何家会伤人', '沟通的艺术（插图修订第14版）', '富爸爸财务自由之路', '老人与海', '刀与星辰', '蝙蝠侠：致命玩笑', '简爱', '傲慢与偏见（英文本）', '中国古代文化常识', '守望者（上）', '格调', '守望者（下）', '电影艺术（插图第8版）', '经济学的思维方式（第11版）', '你的剧本逊毙了！', '蝙蝠侠：黑暗骑士归来', '整理的艺术', '沟通的艺术', '如何写影评', '蝙蝠侠：第一年', '心灵的七种兵器', '蝙蝠侠：缄默']",8.470531349197406,优秀
北京燕山出版社,20,8.6,8.585657147569387,154112,22.0,1999-2015,"['羊脂球', '巴黎没有摩天轮', '阿城精选集', '百万英镑', '悲惨世界', '福尔摩斯探案集', '海底两万里', '热爱生命', '鲁滨逊漂流记', '基督山伯爵(上下)', '了不起的盖茨比', '茶花女', '边城', '慈悲城', '飘（上下）', '格兰特船长的儿女', '傲慢与偏见', '莎士比亚悲剧集', '福尔摩斯探案全集', '午夜之子']",8.468524019614582,优秀
河北教育出版社,10,8.709999999999999,8.69601961787942,70357,28.9,2002-2008,"['项链', '我爸爸', '大卫，不可以', '我妈妈', '里尔克诗选', '博尔赫斯诗选', '是谁嗯嗯在我的头上', '花婆婆', '聂鲁达诗选', '在云上']",8.464960515591018,优秀
社会科学文献出版社,8,8.7625,8.746517040145916,29721,63.5,2005-2015,"['1453', '天国之秋', '非常道', '金雀花王朝', '阿拉伯的劳伦斯', '海洋帝国', '财富之城', '野蛮大陆']",8.461540584623673,优秀
湖南科学技术出版社,16,8.6125,8.600514741043659,136259,43.5,2003-2019,"['时间简史', '此生未完成', '世界是平的', '七堂极简物理课', '时间的秩序', '果壳中的宇宙', '时间简史', '大设计', '世界是平的（3.0版）', '生命是什么', '时间简史(普及版)', '现实不似你所见', '宇宙的琴弦', '复杂', '时间简史', '果壳中的宇宙']",8.459291578965347,优秀
长春出版社,5,8.92,8.91036795989557,55238,9.0,1999-2005,"['灌篮高手31', '名侦探柯南42', '晃晃悠悠', '灌篮高手（全31卷）', '名侦探柯南1']",8.458992386922358,优秀
中国电力出版社,3,9.233333333333333,9.199866487544595,7940,85.0,2003-2007,"['Head First 设计模式（中文版）', '深入理解计算机系统', '重构']",8.456137756672412,卓越
中国摄影出版社,4,9.025,9.007819902025556,20701,90.0,2000-2012,"['美国纽约摄影学院摄影教材（上）', '美国纽约摄影学院摄影教材（上册）', '美国纽约摄影学院摄影教材（下）', '家庭日记']",8.454256401964413,卓越
皇冠文化出版公司,5,8.9,8.889052606490973,31314,280.0,2000-2003,"['神秘的魔法石', '哈利波特5 鳳凰會的密令', '消失的密室', '阿茲卡班的逃犯', '火盃的考驗']",8.45137976070643,优秀
